Title,Link
Paul Adams: Why the Gaza ceasefire is under growing strain,https://www.bbc.com/news/articles/cd649p8yq16o
Trump faces showdown with Jordan over Gaza plan,https://www.bbc.com/news/articles/c360dkgjrkwo
Paul Adams: Why the Gaza ceasefire is under growing strain,https://www.bbc.com/news/articles/cd649p8yq16o
Trump faces showdown with Jordan over Gaza plan,https://www.bbc.com/news/articles/c360dkgjrkwo
Israel pledges 'relentless action' to return hostages as Hamas rejects Trump's 'threats',https://www.bbc.com/news/live/c2056vkpkrgt
With Trump's tariffs looming - will countries scramble to cut deals?,https://www.bbc.com/news/articles/cqx977lrdl1o
"Lawyer in Saudi trans student's suicide note had embassy links, BBC finds",https://www.bbc.com/news/articles/czepx5n3581o
Plughole-like whirlpool in California creates mesmerising water display,https://www.bbc.com/news/videos/cn0yn7yyrd2o
Teacher fatally stabs eight-year-old in South Korea,https://www.bbc.com/news/articles/c4gwjy18v4go
Only from the BBC,No link available
The 'untold story' of the ultimate 70s rock band,https://www.bbc.com/culture/article/20250210-how-led-zeppelin-became-britains-ultimate-70s-rock-band
How human history is etched into the fabric of the Earth,https://www.bbc.com/future/article/20250210-how-the-history-of-humans-is-written-into-the-fabric-of-the-earth
More news,https://www.bbc.com/news
Japan ministry worker on night out loses sensitive files,https://www.bbc.com/news/articles/cz9e78k7n01o
Trump's citizenship order leaves expecting Indian immigrant parents in limbo,https://www.bbc.com/news/articles/c8xq70lw8kvo
ChatGPT boss says no thanks to Elon Musk-led $97bn bid,https://www.bbc.com/news/articles/cpdx75zgg88o
"AI chatbots unable to accurately summarise news, BBC finds",https://www.bbc.com/news/articles/c0m17d8827ko
New Zealand and Cook Islands fall out over China deal,https://www.bbc.com/news/articles/c4g3vew1ejgo
Must watch,No link available
Richard III: The 'accidental' photo of a long-lost king,https://www.bbc.com/reel/video/p0kqd47s/richard-iii-the-accidental-photo-of-a-long-lost-king
'Entertaining nonsense': BBC's Nick Robinson discovers X account hacked,https://www.bbc.com/news/videos/cgmyk3kkeddo
Met Police officers rescue people and fight blaze at hostel,https://www.bbc.com/news/videos/c1lv19jvqldo
Watch: Dog reunited with owners seven years after theft,https://www.bbc.com/news/videos/cgmykzgwjzyo
Hundreds of tractors block Westminster,https://www.bbc.com/news/videos/cwypj14q122o
Super Bowl dancer tackled for waving Sudan-Palestine flag,https://www.bbc.com/news/videos/cx2plj4j927o
Fans pack downtown Philadelphia to celebrate Super Bowl win,https://www.bbc.com/news/videos/cvg48dvyq41o
InDepth,https://www.bbc.com/news/bbcindepth
Why more young men in Germany are turning to the far right,https://www.bbc.com/news/articles/cy082dn7rkqo
Technology,https://www.bbc.com/innovation/technology
Nine years and 3 million words of script: Acting in a video game epic,https://www.bbc.com/news/articles/ckgxp0jl15lo
Discover more from the BBC,No link available
US Politics Unspun,https://cloud.email.bbc.com/US_Politics_Unspun_Newsletter_Signup?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=uselectionunspun&at_campaign_type=owned
Download the BBC app,https://bbc-global.onelink.me/Ezi6/n4y4nlv7
World of Business,https://cloud.email.bbc.com/WorldofBusiness_Newsletter_Signup?&at_bbc_team=studios&at_medium=emails&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.com&at_format=Module&at_link_origin=homepage&at_campaign=wob&at_campaign_type=owned
Listen to The Global Story,https://www.bbc.co.uk/programmes/w13xtvsd
Register for a BBC account,https://account.bbc.com/auth/register/email?ab=o13&action=register&clientId=Account&context=international&isCasso=false&nonce=ZhRJnl8N-Nzg4mlepfcUAP3WaQY2IhgqHUUw&ptrt=https%3A%2F%2Fwww.bbc.com%2F&realm=%2F&redirectUri=https%3A%2F%2Fsession.bbc.com%2Fsession%2Fcallback%3Frealm%3D%2F&sequenceId=afd616da-9f13-432d-a54d-95c9f32d1f0b&service=IdRegisterService&userOrigin=BBCS_BBC
Subscribe to the Essential List,https://cloud.email.bbc.com/SignUp10_08?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=essentiallist&at_campaign_type=owned
Sign up to News Briefing,https://cloud.email.bbc.com/bbcnewsignup2?&at_bbc_team=studios&at_medium=display&at_objective=acquisition&at_ptr_type=&at_ptr_name=bbc.comhp&at_format=Module&at_link_origin=homepage&at_campaign=newsbriefing&at_campaign_type=owned
US & Canada news,https://www.bbc.com/news/us-canada
UK will not immediately respond to US metal tariffs,https://www.bbc.com/news/articles/cqx97xynejzo
US justice department tells prosecutors to drop NYC mayor's corruption case,https://www.bbc.com/news/articles/cx25m165y44o
Here's what to know about A$AP Rocky's trial,https://www.bbc.com/news/articles/cqld9725r2go
Trump signs order shifting US back toward plastic straws,https://www.bbc.com/news/articles/c2k574ydyyqo
Israel-Gaza war,https://www.bbc.com/news/topics/c2vdnvdg6xxt
Stories of the hostages taken by Hamas from Israel,https://www.bbc.com/news/world-middle-east-67053011
Trump faces showdown with Jordan over Gaza plan,https://www.bbc.com/news/articles/c360dkgjrkwo
"Hamas says it will postpone hostage release, blaming Israel",https://www.bbc.com/news/articles/c5ye69ey4pyo
Trump says no right of return for Palestinians under Gaza plan,https://www.bbc.com/news/articles/cn57neepx4vo
War in Ukraine,https://www.bbc.com/news/war-in-ukraine
Injured Ukrainian soldier treated in Kent,https://www.bbc.com/news/articles/cx2m7k2e1xdo
Ex-MP shares why he joined Ukraine's military,https://www.bbc.com/news/videos/c93q2l11wd7o
Zelensky says North Korean troops back on front line,https://www.bbc.com/news/articles/cednp7q41l2o
'My son was 18 and went to Ukraine as cannon fodder',https://www.bbc.com/news/articles/cwy7gp341j0o
More world news,https://www.bbc.com/news/world
South Sudan president sacks top leaders and spy chief,https://www.bbc.com/news/articles/cj91dmxz7x9o
Man charged over suspected knife attack in Dublin,https://www.bbc.com/news/articles/cx2p5x79r03o
Why some Ghanaians are fighting in insurgency-hit Burkina Faso,https://www.bbc.com/news/articles/cpdx3wj9dp2o
Tremors hitting Santorini reach new strength,https://www.bbc.com/news/articles/cy485dz15qyo
Video,https://www.bbc.com/video
The intriguing history of Transylvania,https://www.bbc.com/reel/video/p0kn787c/the-intriguing-history-of-transylvania
Sport,https://www.bbc.com/sport
Gatland to leave Wales head coach role,https://www.bbc.com/sport/rugby-union/articles/cpwrj451k95o
"Football latest: Merseyside derby build-up as Gomez ruled out, McNulty Q&A & FA Cup reaction",https://www.bbc.com/sport/football/live/cx2yk03qr0kt
A rivalry of our times - why Man City & Real are fighting for their lives,https://www.bbc.com/sport/football/articles/c30d4pd8z17o
Super Bowl win sees Mailata complete 'greatest story in football',https://www.bbc.com/sport/articles/c4g3v4qjz27o
Business,https://www.bbc.com/business
ChatGPT boss says no thanks to Elon Musk-led $97bn bid,https://www.bbc.com/news/articles/cpdx75zgg88o
Trump says no exemptions with metal tariffs to start in March,https://www.bbc.com/news/articles/c360dz384n5o
With Trump's tariffs looming - will countries scramble to cut deals?,https://www.bbc.com/news/articles/cqx977lrdl1o
"Data of four dead British teens may have been removed, says TikTok",https://www.bbc.com/news/articles/c5yv4j8rzzzo
Tech,https://www.bbc.com/innovation/technology
The satellites that will skim the sky,https://www.bbc.com/future/article/20250207-sky-skimmers-the-race-to-send-satellites-into-very-low-earth-orbits
Woman's deepfake betrayal by close friend: 'Every moment turned into porn',https://www.bbc.com/news/articles/cm21j341m31o
How big tech ad money helped fund child abuse,https://www.bbc.com/future/article/20250207-how-google-amazon-and-microsoft-funnelled-ad-money-to-a-site-hosting-child-abuse-images
Trump administration to cut billions from overheads in biomedical research,https://www.bbc.com/news/articles/c15zypvgxz5o
Science & health,https://www.bbc.com/innovation/science
"Beware ill-fitting menstrual cups, warn doctors",https://www.bbc.com/news/articles/c5yv98r4d4eo
What your fingernails can reveal about your health,https://www.bbc.com/future/article/20250207-what-your-fingernails-can-reveal-about-your-health
'Is Gen Z really addicted to doomscrolling?',https://www.bbc.com/news/articles/cx2q1dzj2vko
Watch: Sir Keir Starmer becomes first PM to take HIV test,https://www.bbc.com/news/videos/ce85lg649z8o
Culture,https://www.bbc.com/culture
How a North Korean went from begging to K-pop,https://www.bbc.com/news/articles/c99vxpg55zmo
Kendrick Lamar and Drake beef: What's the latest?,https://www.bbc.com/news/articles/cy8xmkmg207o
Kendrick Lamar's Super Bowl show was one big tease,https://www.bbc.com/news/articles/cz0l5m5m943o
Serena Williams crip walks at surprise Super Bowl appearance,https://www.bbc.com/news/articles/cn57n1dw24go
Arts,https://www.bbc.com/arts
Show explores role of forgotten Black abolitionists,https://www.bbc.com/news/articles/cjexnex709no
Salvador Dalí art comes to India for the first time,https://www.bbc.com/news/articles/ce8y2877051o
Six Nordic paintings that help us rethink winter,https://www.bbc.com/culture/article/20250128-six-nordic-paintings-that-can-help-us-rethink-winter
Frozen in time: Rare early images of the Himalayas from Italian pioneer,https://www.bbc.com/news/articles/c8edg6n5xp3o
Travel,https://www.bbc.com/travel
'It risks becoming a Venice in the desert': The dark side of Uzbekistan's tourism boom,https://www.bbc.com/travel/article/20250207-the-dark-side-of-uzbekistans-tourism-boom
The French cocktail born from a banned spirit,https://www.bbc.com/travel/article/20250207-pastis-the-french-cocktail-born-from-a-banned-spirit
Where to get the best gumbo in New Orleans,https://www.bbc.com/travel/article/20250207-emeril-lagasses-guide-to-the-best-gumbo-in-new-orleans
The nation with delicious ways to soothe a cold,https://www.bbc.com/travel/article/20250205-rasam-to-congee-singapore-dishes-for-flu
Earth,https://www.bbc.com/future-planet
"Earth's inner core may have changed shape, say scientists",https://www.bbc.com/news/articles/c4gx37ky3gyo
Thousands of baby turtles released in Brazil,https://www.bbc.com/news/videos/cnvq9l1j551o
"Tourists leave after earthquakes rock Santorini, but resilient locals remain",https://www.bbc.com/news/articles/c8059mny2g3o
Tsunami alerts cancelled after Caribbean earthquake,https://www.bbc.com/news/articles/c4g3y4g7dy2o
Follow BBC on:,No link available
